Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,181746,90873,0.001,9.565,2.123,0.001
insert_find,1,167670,83835,0.008,20.031,4.51,0.001
insert_find,2,177480,88740,0.008,12.591,2.927,0.007
insert_find,3,169144,84572,0.008,19.106,4.304,0.007
insert_find,4,180718,90359,0.002,9.561,2.109,0.001
insert_find,5,175260,87630,0.007,14.17,3.251,0.001
insert_find,6,180852,90426,0.003,9.556,2.112,0.001
insert_find,7,182712,91356,0.007,9.054,2.093,0.007
insert_find,8,179478,89739,0.027,11.301,2.632,0.027
insert_find,9,182588,91294,0.002,10.144,2.084,0.002
insert_find,10,182694,91347,0.003,9.715,2.076,0.002
insert_find,11,182354,91177,0.009,8.984,2.077,0.005
insert_find,12,167286,83643,0.008,20.207,4.166,0.0
insert_find,13,175086,87543,0.007,13.865,3.131,0.007
insert_find,14,170216,85108,0.008,17.433,4.07,0.003
insert_find,15,182812,91406,0.009,9.007,2.076,0.009
malicious,0,59197284,59197284,1.413,4081.575,0.0,0.0
