Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,10400,1040,6.505,361.656
genuine,1,10430,1043,5.99,343.477
genuine,2,10560,1056,7.908,366.034
genuine,3,10720,1072,8.619,355.885
genuine,4,10330,1033,13.342,360.83
genuine,5,10510,1051,3.021,338.264
genuine,6,10410,1041,6.781,357.345
genuine,7,10240,1024,10.063,377.387
genuine,8,10260,1026,6.973,370.913
genuine,9,10290,1029,5.21,357.095
genuine,10,10450,1045,4.891,343.254
genuine,11,10310,1031,17.92,384.54
genuine,12,10860,1086,5.641,347.183
genuine,13,10580,1058,5.57,328.798
genuine,14,10720,1072,6.81,348.936
genuine,15,10570,1057,8.614,387.145
malicious,0,61510,61510,14.58,1689.888
