Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2930,293,1.943,84.887
genuine,1,2870,287,11.646,97.942
genuine,2,2940,294,3.921,98.375
genuine,3,2890,289,6.73,96.187
genuine,4,2810,281,6.237,99.953
genuine,5,2820,282,8.628,103.682
genuine,6,2890,289,4.999,98.875
genuine,7,2960,296,1.885,87.311
genuine,8,2970,297,5.084,104.212
genuine,9,2920,292,3.524,95.968
genuine,10,2960,296,4.948,106.834
genuine,11,2940,294,4.54,91.048
genuine,12,2810,281,5.232,98.436
genuine,13,3000,300,4.026,107.544
genuine,14,2960,296,3.493,80.832
genuine,15,2960,296,4.685,94.16
genuine,16,2810,281,4.007,102.395
genuine,17,2900,290,5.356,114.048
genuine,18,2850,285,9.958,101.587
genuine,19,2840,284,5.262,112.724
genuine,20,3140,314,3.551,118.679
genuine,21,2970,297,2.981,107.901
genuine,22,2920,292,4.369,97.204
genuine,23,2790,279,11.569,96.589
genuine,24,2900,290,4.771,91.88
genuine,25,2930,293,4.763,95.098
genuine,26,2960,296,0.919,82.128
genuine,27,2800,280,3.385,98.632
genuine,28,3020,302,10.261,104.825
genuine,29,2850,285,5.95,95.965
genuine,30,2910,291,3.845,89.938
genuine,31,2930,293,4.169,89.007
genuine,32,3060,306,7.854,104.503
genuine,33,2700,270,2.458,82.749
genuine,34,2870,287,5.553,97.378
genuine,35,3010,301,2.843,94.454
genuine,36,2880,288,3.502,109.629
genuine,37,2940,294,5.73,110.558
genuine,38,2850,285,3.113,95.902
genuine,39,2930,293,4.161,93.535
genuine,40,3000,300,4.688,92.417
genuine,41,2900,290,3.571,83.02
genuine,42,2890,289,13.648,115.274
genuine,43,2970,297,11.189,129.076
genuine,44,2790,279,1.307,83.837
genuine,45,2810,281,4.708,99.307
genuine,46,2910,291,6.107,99.033
genuine,47,2730,273,6.945,89.418
genuine,48,2950,295,11.589,120.84
genuine,49,2690,269,8.823,94.189
genuine,50,3070,307,5.021,100.786
genuine,51,2880,288,4.364,90.826
genuine,52,2870,287,2.648,95.113
genuine,53,2830,283,7.537,105.761
genuine,54,2900,290,4.885,98.131
genuine,55,2940,294,3.481,99.374
genuine,56,2980,298,7.424,99.22
genuine,57,2940,294,6.104,100.299
genuine,58,2880,288,6.224,103.067
genuine,59,2980,298,5.79,90.859
genuine,60,2840,284,3.595,89.778
genuine,61,2950,295,4.494,121.016
genuine,62,2800,280,13.206,120.513
genuine,63,2880,288,4.318,98.561
malicious,0,21808,21808,13.683,494.229
