Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,7446,4964,8.766,289.078
genuine,1,7326,4884,16.701,252.765
genuine,2,7332,4888,8.456,242.082
genuine,3,7506,5004,6.409,239.225
genuine,4,7302,4868,6.329,209.611
genuine,5,7164,4776,12.649,257.908
genuine,6,7158,4772,4.743,237.481
genuine,7,7302,4868,5.808,231.064
genuine,8,7458,4972,8.934,280.811
genuine,9,7260,4840,6.549,258.399
genuine,10,7104,4736,14.807,272.877
genuine,11,7710,5140,6.43,242.491
genuine,12,7386,4924,8.883,253.697
genuine,13,7350,4900,9.948,241.362
genuine,14,7116,4744,8.392,241.704
genuine,15,7176,4784,8.642,224.909
malicious,0,84310,84310,29.795,2273.553
