Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,11180,3440,3.515,357.8
genuine,1,11180,3440,9.66,384.404
genuine,2,11050,3400,3.798,339.727
genuine,3,11024,3392,3.0,357.779
genuine,4,11063,3404,7.22,360.238
genuine,5,11323,3484,3.119,354.054
genuine,6,11336,3488,6.029,358.04
genuine,7,11258,3464,8.629,367.811
genuine,8,11076,3408,2.724,347.242
genuine,9,11284,3472,6.071,361.88
genuine,10,11362,3496,6.271,363.755
genuine,11,11180,3440,14.582,362.888
genuine,12,11063,3404,4.363,364.72
genuine,13,11193,3444,4.447,333.907
genuine,14,11375,3500,10.5,400.236
genuine,15,11388,3504,4.649,356.126
malicious,0,66572,66572,9.613,1644.838
