Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,36830,18415,0.001,1.747,0.406,0.0
insert_find,1,36678,18339,0.001,1.83,0.428,0.001
insert_find,2,36748,18374,0.003,1.801,0.417,0.0
insert_find,3,36786,18393,0.001,1.797,0.417,0.0
insert_find,4,36798,18399,0.003,1.828,0.418,0.0
insert_find,5,36788,18394,0.001,1.809,0.417,0.0
insert_find,6,36766,18383,0.001,1.811,0.416,0.0
insert_find,7,36756,18378,0.001,1.774,0.417,0.0
insert_find,8,36760,18380,0.001,1.793,0.417,0.0
insert_find,9,36258,18129,0.001,1.673,0.416,0.0
insert_find,10,36210,18105,0.001,2.126,0.499,0.0
insert_find,11,36610,18305,0.001,1.823,0.417,0.0
insert_find,12,36680,18340,0.004,1.85,0.419,0.0
insert_find,13,37266,18633,0.001,1.474,0.338,0.0
insert_find,14,36766,18383,0.001,1.816,0.423,0.0
insert_find,15,36656,18328,0.001,1.842,0.43,0.001
malicious,0,11713347,11713347,0.103,890.461,0.0,0.0
