Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,862629,287543,0.018,112.044
genuine,1,855195,285065,0.029,112.981
genuine,2,850101,283367,0.017,113.475
genuine,3,853389,284463,0.017,112.901
genuine,4,846555,282185,0.019,114.25
genuine,5,859008,286336,0.035,112.557
genuine,6,852498,284166,0.018,112.885
genuine,7,851562,283854,0.018,113.176
genuine,8,855849,285283,0.017,112.956
genuine,9,857979,285993,0.017,112.287
genuine,10,871065,290355,0.014,112.307
genuine,11,867546,289182,0.018,112.56
genuine,12,871650,290550,0.015,112.246
genuine,13,868122,289374,0.014,112.527
genuine,14,870570,290190,0.014,112.164
genuine,15,855465,285155,0.017,112.447
malicious,0,112142516,112142516,8.419,13835.741
