Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,9560,3824,7.267,325.737
genuine,1,9340,3736,6.964,300.029
genuine,2,9620,3848,9.761,317.767
genuine,3,9580,3832,4.308,301.299
genuine,4,9220,3688,5.493,312.361
genuine,5,9280,3712,9.123,330.584
genuine,6,9360,3744,4.184,284.753
genuine,7,9820,3928,3.131,287.199
genuine,8,9640,3856,4.928,322.237
genuine,9,9500,3800,13.591,345.287
genuine,10,9840,3936,9.196,331.517
genuine,11,9740,3896,11.445,329.542
genuine,12,9600,3840,4.37,296.051
genuine,13,9700,3880,9.933,319.252
genuine,14,9780,3912,6.513,328.641
genuine,15,9380,3752,9.512,305.21
malicious,0,59817,59817,14.332,1582.687
