Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2688,672,3.204,92.832
genuine,1,2752,688,3.735,86.787
genuine,2,2736,684,5.861,101.518
genuine,3,2768,692,8.195,111.863
genuine,4,2656,664,8.379,118.891
genuine,5,2592,648,15.951,113.018
genuine,6,2736,684,11.197,101.131
genuine,7,2656,664,6.78,106.646
genuine,8,2672,668,3.566,94.65
genuine,9,2704,676,7.879,93.88
genuine,10,2704,676,11.073,111.151
genuine,11,2608,652,3.356,86.826
genuine,12,2608,652,3.668,86.911
genuine,13,2784,696,5.039,109.686
genuine,14,2688,672,11.875,126.48
genuine,15,2544,636,5.034,89.882
genuine,16,2672,668,8.569,110.017
genuine,17,2736,684,8.565,116.493
genuine,18,2688,672,3.753,104.088
genuine,19,2624,656,6.727,104.357
genuine,20,2768,692,10.685,111.398
genuine,21,2560,640,4.278,102.996
genuine,22,2672,668,8.396,106.353
genuine,23,2592,648,4.96,84.022
genuine,24,2752,688,4.119,94.018
genuine,25,2704,676,2.684,92.371
genuine,26,2672,668,2.551,83.67
genuine,27,2688,672,5.527,117.112
genuine,28,2720,680,6.446,101.089
genuine,29,2784,696,7.739,97.332
genuine,30,2800,700,4.802,107.402
genuine,31,2720,680,5.723,104.166
genuine,32,2704,676,2.403,93.443
genuine,33,2608,652,7.115,114.402
genuine,34,2688,672,2.813,101.012
genuine,35,2592,648,2.36,85.534
genuine,36,2496,624,3.809,94.928
genuine,37,2576,644,2.489,94.836
genuine,38,2496,624,4.773,89.847
genuine,39,2720,680,5.696,106.276
genuine,40,2656,664,2.757,93.137
genuine,41,2688,672,1.919,90.952
genuine,42,2688,672,7.464,100.497
genuine,43,2672,668,2.861,95.461
genuine,44,2672,668,2.795,88.113
genuine,45,2544,636,4.726,85.665
genuine,46,2624,656,4.689,104.014
genuine,47,2592,648,3.565,91.122
genuine,48,2688,672,3.136,90.831
genuine,49,2704,676,5.354,92.907
genuine,50,2656,664,7.856,105.387
genuine,51,2592,648,2.189,85.432
genuine,52,2656,664,4.613,98.48
genuine,53,2736,684,2.31,91.162
genuine,54,2688,672,10.208,106.734
genuine,55,2592,648,6.066,109.187
genuine,56,2704,676,14.116,129.837
genuine,57,2624,656,3.911,102.529
genuine,58,2688,672,9.22,109.256
genuine,59,2608,652,3.207,91.4
genuine,60,2592,648,6.961,103.901
genuine,61,2704,676,5.934,107.783
genuine,62,2416,604,7.789,89.653
genuine,63,2656,664,3.193,90.529
malicious,0,18819,18819,16.982,498.854
