Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,3150,525,3.861,107.972
genuine,1,3042,507,5.184,105.898
genuine,2,3144,524,2.838,94.227
genuine,3,3126,521,7.369,109.646
genuine,4,3246,541,4.342,102.155
genuine,5,3072,512,5.272,110.337
genuine,6,3060,510,2.467,106.423
genuine,7,3204,534,2.64,101.059
genuine,8,3132,522,3.853,113.066
genuine,9,3150,525,1.82,94.543
genuine,10,3222,537,5.537,112.97
genuine,11,3264,544,2.513,98.9
genuine,12,3204,534,8.0,116.328
genuine,13,3228,538,4.541,109.107
genuine,14,3132,522,2.524,101.902
genuine,15,3024,504,5.584,108.193
genuine,16,3180,530,8.932,115.711
genuine,17,3180,530,7.792,116.294
genuine,18,3258,543,4.473,100.528
genuine,19,3096,516,5.862,108.27
genuine,20,3000,500,5.365,105.739
genuine,21,3258,543,5.814,107.955
genuine,22,3222,537,3.461,104.834
genuine,23,3204,534,2.794,99.772
genuine,24,3132,522,6.271,118.287
genuine,25,3144,524,2.751,97.223
genuine,26,3144,524,4.538,102.785
genuine,27,3198,533,8.454,122.79
genuine,28,3150,525,2.101,102.499
genuine,29,3138,523,5.147,95.358
genuine,30,3090,515,4.637,100.47
genuine,31,3270,545,2.499,101.722
genuine,32,3234,539,5.417,112.258
genuine,33,3114,519,2.471,92.472
genuine,34,3156,526,5.092,105.469
genuine,35,3270,545,3.889,109.427
genuine,36,3198,533,4.046,120.514
genuine,37,3012,502,5.297,106.174
genuine,38,3078,513,10.805,111.393
genuine,39,3000,500,2.968,114.846
genuine,40,3102,517,2.16,99.438
genuine,41,3024,504,3.65,102.433
genuine,42,3204,534,2.701,97.441
genuine,43,3048,508,3.176,101.553
genuine,44,3108,518,2.695,100.428
genuine,45,2964,494,2.372,101.338
genuine,46,3018,503,2.713,107.643
genuine,47,3192,532,3.043,96.303
genuine,48,3048,508,6.291,101.469
genuine,49,3234,539,3.429,99.154
genuine,50,2958,493,2.408,102.068
genuine,51,3084,514,1.819,94.014
genuine,52,3114,519,3.307,108.376
genuine,53,3168,528,1.669,97.308
genuine,54,3180,530,2.129,94.902
genuine,55,3102,517,4.73,98.637
genuine,56,3018,503,7.021,109.001
genuine,57,3228,538,2.724,110.544
genuine,58,3108,518,4.439,112.274
genuine,59,3102,517,2.85,108.164
genuine,60,3012,502,3.151,104.924
genuine,61,3036,506,3.113,106.408
genuine,62,3126,521,1.457,86.232
genuine,63,3078,513,5.485,117.095
malicious,0,20852,20852,7.975,444.069
