Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,9000,3600,8.203,293.699
genuine,1,9100,3640,6.778,285.155
genuine,2,9280,3712,4.192,297.387
genuine,3,9200,3680,9.677,305.969
genuine,4,8960,3584,7.027,325.728
genuine,5,9320,3728,3.849,299.113
genuine,6,8900,3560,11.028,310.069
genuine,7,8840,3536,7.749,298.717
genuine,8,8560,3424,10.602,301.763
genuine,9,8880,3552,7.192,306.217
genuine,10,9000,3600,8.345,311.13
genuine,11,9220,3688,10.619,309.58
genuine,12,8940,3576,7.151,279.866
genuine,13,8700,3480,8.223,301.748
genuine,14,9160,3664,6.714,319.399
genuine,15,8960,3584,9.278,297.205
malicious,0,67763,67763,20.421,2205.995
