Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,11154,858,3.769,358.537
genuine,1,11037,849,9.411,391.535
genuine,2,10647,819,7.864,376.622
genuine,3,10647,819,2.572,352.02
genuine,4,11193,861,7.968,385.859
genuine,5,10946,842,6.982,355.294
genuine,6,10907,839,3.87,356.035
genuine,7,10803,831,6.856,374.098
genuine,8,11037,849,4.112,359.454
genuine,9,10634,818,2.648,373.097
genuine,10,10491,807,6.367,374.649
genuine,11,10699,823,8.429,372.651
genuine,12,10959,843,4.486,357.486
genuine,13,10530,810,7.185,400.568
genuine,14,10881,837,4.782,349.658
genuine,15,10621,817,7.206,373.583
malicious,0,62069,62069,8.138,1501.331
