Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2640,1760,4.578,83.77
genuine,1,2304,1536,8.377,96.123
genuine,2,2382,1588,12.3,108.951
genuine,3,2418,1612,12.746,93.449
genuine,4,2322,1548,10.992,94.525
genuine,5,2292,1528,3.578,81.967
genuine,6,2370,1580,5.648,83.803
genuine,7,2304,1536,2.829,77.94
genuine,8,2346,1564,10.456,114.23
genuine,9,2406,1604,9.32,102.983
genuine,10,2340,1560,9.514,110.179
genuine,11,2424,1616,2.695,75.23
genuine,12,2394,1596,12.353,104.842
genuine,13,2292,1528,5.786,84.943
genuine,14,2262,1508,8.905,87.032
genuine,15,2514,1676,7.55,113.27
genuine,16,2262,1508,9.627,93.821
genuine,17,2274,1516,8.144,100.677
genuine,18,2328,1552,6.079,86.776
genuine,19,2358,1572,4.938,88.077
genuine,20,2208,1472,7.55,98.913
genuine,21,2400,1600,9.691,91.225
genuine,22,2496,1664,6.134,101.336
genuine,23,2220,1480,5.044,79.505
genuine,24,2424,1616,9.248,103.513
genuine,25,2268,1512,8.162,92.986
genuine,26,2370,1580,15.447,84.652
genuine,27,2250,1500,3.529,75.333
genuine,28,2340,1560,7.619,89.088
genuine,29,2364,1576,14.508,89.552
genuine,30,2370,1580,7.44,81.12
genuine,31,2346,1564,11.914,98.343
genuine,32,2304,1536,2.672,70.9
genuine,33,2298,1532,10.761,83.665
genuine,34,2328,1552,6.547,94.528
genuine,35,2334,1556,15.207,125.737
genuine,36,2214,1476,3.019,73.051
genuine,37,2274,1516,6.243,101.883
genuine,38,2316,1544,9.881,82.877
genuine,39,2268,1512,10.028,100.359
genuine,40,2364,1576,15.732,94.782
genuine,41,2316,1544,7.511,110.396
genuine,42,2328,1552,9.095,97.005
genuine,43,2166,1444,5.914,84.809
genuine,44,2292,1528,9.856,89.405
genuine,45,2334,1556,3.229,73.626
genuine,46,2340,1560,3.114,78.516
genuine,47,2304,1536,6.812,85.109
genuine,48,2274,1516,4.864,91.006
genuine,49,2328,1552,5.928,85.752
genuine,50,2412,1608,6.062,90.813
genuine,51,2352,1568,6.728,92.149
genuine,52,2214,1476,4.87,68.023
genuine,53,2274,1516,7.601,103.505
genuine,54,2232,1488,15.63,91.206
genuine,55,2316,1544,11.724,114.655
genuine,56,2244,1496,2.894,71.471
genuine,57,2226,1484,7.337,81.396
genuine,58,2232,1488,8.222,77.617
genuine,59,2412,1608,10.996,103.064
genuine,60,2292,1528,11.706,90.607
genuine,61,2424,1616,6.195,90.561
genuine,62,2040,1360,10.421,89.73
genuine,63,2280,1520,1.69,65.445
malicious,0,21153,21153,14.502,598.095
