Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,504256,252128,0.009,58.282,13.474,0.001
insert_find,1,524114,262057,0.014,45.242,10.319,0.014
insert_find,2,523980,261990,0.011,43.437,9.801,0.009
insert_find,3,540260,270130,0.005,32.171,7.332,0.003
insert_find,4,502716,251358,0.008,59.38,13.896,0.008
insert_find,5,495096,247548,0.01,65.652,15.13,0.007
insert_find,6,491000,245500,0.012,66.603,15.333,0.009
insert_find,7,512574,256287,0.011,52.926,12.201,0.008
insert_find,8,507802,253901,0.012,56.841,13.018,0.009
insert_find,9,497426,248713,0.011,63.179,14.688,0.011
insert_find,10,504672,252336,0.009,57.91,13.398,0.0
insert_find,11,509810,254905,0.014,52.987,12.241,0.005
insert_find,12,504974,252487,0.011,57.62,13.431,0.008
insert_find,13,492808,246404,0.01,67.503,14.304,0.008
insert_find,14,491910,245955,0.01,69.042,14.469,0.007
insert_find,15,507496,253748,0.013,54.089,12.61,0.009
malicious,0,163991986,163991986,4.668,11270.464,0.0,0.0
