Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2899,1784,2.218,105.424
genuine,1,2977,1832,4.278,115.557
genuine,2,3055,1880,3.353,112.914
genuine,3,3055,1880,2.603,107.469
genuine,4,2912,1792,8.552,114.85
genuine,5,2808,1728,11.64,134.434
genuine,6,3016,1856,2.489,108.21
genuine,7,3055,1880,2.295,112.756
genuine,8,2938,1808,2.769,100.873
genuine,9,2899,1784,14.166,117.341
genuine,10,2808,1728,7.818,130.915
genuine,11,2860,1760,4.973,107.017
genuine,12,2925,1800,1.83,105.855
genuine,13,2951,1816,2.981,115.887
genuine,14,3016,1856,3.906,115.057
genuine,15,2977,1832,2.992,108.4
genuine,16,2990,1840,4.048,111.643
genuine,17,2886,1776,4.313,96.49
genuine,18,2912,1792,4.376,115.623
genuine,19,2899,1784,3.333,106.535
genuine,20,2938,1808,2.227,101.141
genuine,21,3029,1864,8.753,121.73
genuine,22,2964,1824,1.774,98.342
genuine,23,2938,1808,5.92,109.533
genuine,24,2964,1824,2.984,110.108
genuine,25,2938,1808,4.62,116.525
genuine,26,3055,1880,2.351,103.959
genuine,27,3029,1864,1.973,103.36
genuine,28,2925,1800,6.623,118.723
genuine,29,2990,1840,3.032,113.588
genuine,30,2925,1800,2.752,111.981
genuine,31,2938,1808,1.685,98.793
genuine,32,2899,1784,2.702,101.272
genuine,33,2964,1824,7.697,115.737
genuine,34,3003,1848,2.346,112.041
genuine,35,2899,1784,4.909,103.955
genuine,36,2925,1800,2.141,112.633
genuine,37,2860,1760,2.706,105.132
genuine,38,2951,1816,7.529,108.835
genuine,39,2899,1784,1.804,99.404
genuine,40,3029,1864,2.249,106.463
genuine,41,3068,1888,2.93,102.337
genuine,42,3055,1880,7.151,110.166
genuine,43,3081,1896,5.285,114.86
genuine,44,3042,1872,5.029,109.271
genuine,45,2860,1760,3.14,104.84
genuine,46,2964,1824,3.756,111.781
genuine,47,3003,1848,2.967,107.651
genuine,48,2899,1784,3.763,116.977
genuine,49,3068,1888,4.305,97.919
genuine,50,2951,1816,2.263,94.145
genuine,51,3003,1848,3.473,108.486
genuine,52,2951,1816,3.984,112.239
genuine,53,2964,1824,3.557,106.458
genuine,54,2938,1808,3.69,116.196
genuine,55,2977,1832,1.934,104.368
genuine,56,3016,1856,3.405,116.689
genuine,57,3016,1856,6.214,111.974
genuine,58,3107,1912,2.497,103.689
genuine,59,2795,1720,8.195,114.942
genuine,60,2977,1832,2.191,104.138
genuine,61,3003,1848,5.444,104.625
genuine,62,2977,1832,2.793,102.408
genuine,63,2977,1832,3.038,105.451
malicious,0,17168,17168,8.756,379.276
