Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,3009,1416,6.906,113.597
genuine,1,3077,1448,13.299,120.748
genuine,2,2890,1360,4.456,100.892
genuine,3,2975,1400,2.655,105.921
genuine,4,3026,1424,5.438,103.555
genuine,5,3043,1432,3.177,110.024
genuine,6,2992,1408,6.932,119.746
genuine,7,2992,1408,4.209,110.288
genuine,8,2924,1376,4.921,113.544
genuine,9,2958,1392,2.456,101.03
genuine,10,2992,1408,2.237,96.301
genuine,11,2975,1400,3.841,120.108
genuine,12,2924,1376,3.172,96.767
genuine,13,3026,1424,2.336,94.625
genuine,14,2975,1400,6.109,105.327
genuine,15,2924,1376,2.877,93.871
genuine,16,2907,1368,4.486,109.314
genuine,17,3094,1456,9.705,109.202
genuine,18,2958,1392,9.51,130.22
genuine,19,2924,1376,3.444,113.952
genuine,20,2856,1344,4.157,101.478
genuine,21,2941,1384,7.134,108.032
genuine,22,3060,1440,2.509,103.909
genuine,23,3009,1416,7.886,114.663
genuine,24,2941,1384,4.479,125.59
genuine,25,2975,1400,3.392,110.607
genuine,26,2992,1408,3.196,114.127
genuine,27,2958,1392,4.106,97.398
genuine,28,3094,1456,3.422,108.171
genuine,29,2992,1408,8.292,128.102
genuine,30,2975,1400,10.237,122.924
genuine,31,2992,1408,3.206,111.669
genuine,32,3009,1416,2.301,107.788
genuine,33,2958,1392,4.796,102.016
genuine,34,2992,1408,4.343,106.207
genuine,35,2941,1384,5.36,123.609
genuine,36,2975,1400,2.261,103.404
genuine,37,3009,1416,5.786,105.843
genuine,38,3026,1424,1.569,96.143
genuine,39,2941,1384,7.728,116.258
genuine,40,2958,1392,3.692,107.925
genuine,41,3026,1424,9.961,117.71
genuine,42,2992,1408,3.111,105.195
genuine,43,2975,1400,2.659,96.754
genuine,44,3009,1416,3.729,96.427
genuine,45,3009,1416,2.129,100.638
genuine,46,3009,1416,10.672,120.276
genuine,47,2924,1376,2.156,101.051
genuine,48,2992,1408,2.935,104.203
genuine,49,2907,1368,4.623,109.127
genuine,50,3077,1448,6.497,114.978
genuine,51,2941,1384,1.798,106.175
genuine,52,2924,1376,9.424,118.269
genuine,53,3026,1424,2.639,114.74
genuine,54,2941,1384,5.963,110.19
genuine,55,2958,1392,2.854,102.617
genuine,56,2839,1336,2.359,95.581
genuine,57,2941,1384,2.41,94.525
genuine,58,2975,1400,4.354,107.267
genuine,59,2975,1400,3.034,106.522
genuine,60,3060,1440,1.887,98.284
genuine,61,2924,1376,6.836,117.222
genuine,62,2924,1376,2.152,92.925
genuine,63,3026,1424,6.732,125.819
malicious,0,19252,19252,7.844,421.722
