Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,3220,1288,3.183,103.309
genuine,1,3300,1320,6.191,126.301
genuine,2,3000,1200,3.787,102.238
genuine,3,3200,1280,3.263,109.238
genuine,4,3120,1248,2.22,95.82
genuine,5,3180,1272,2.359,101.37
genuine,6,2940,1176,3.383,99.278
genuine,7,3020,1208,3.785,101.931
genuine,8,3020,1208,6.648,119.008
genuine,9,3180,1272,6.428,105.78
genuine,10,3040,1216,8.483,110.061
genuine,11,3180,1272,4.536,111.716
genuine,12,3040,1216,1.239,94.335
genuine,13,3080,1232,3.01,101.094
genuine,14,3180,1272,1.425,93.114
genuine,15,3140,1256,6.962,109.142
genuine,16,3120,1248,6.905,102.129
genuine,17,3140,1256,17.602,109.188
genuine,18,3060,1224,2.487,95.329
genuine,19,3040,1216,2.164,102.834
genuine,20,3100,1240,4.337,110.656
genuine,21,3020,1208,2.812,94.734
genuine,22,3140,1256,3.617,109.571
genuine,23,3120,1248,4.31,111.468
genuine,24,3060,1224,4.006,107.574
genuine,25,3080,1232,5.502,115.813
genuine,26,3120,1248,2.528,101.603
genuine,27,3020,1208,8.211,120.07
genuine,28,3060,1224,3.156,93.917
genuine,29,3120,1248,2.44,101.071
genuine,30,3280,1312,2.552,110.624
genuine,31,2960,1184,1.931,95.653
genuine,32,3160,1264,7.569,117.564
genuine,33,3140,1256,3.018,101.979
genuine,34,3080,1232,7.136,109.281
genuine,35,3220,1288,3.756,115.598
genuine,36,3100,1240,3.246,113.63
genuine,37,3140,1256,5.88,101.176
genuine,38,2960,1184,2.114,94.26
genuine,39,2980,1192,6.148,103.908
genuine,40,3040,1216,4.651,108.585
genuine,41,3000,1200,2.512,91.647
genuine,42,3060,1224,2.214,87.118
genuine,43,3060,1224,6.205,105.917
genuine,44,3080,1232,8.521,106.982
genuine,45,3140,1256,5.118,97.627
genuine,46,3160,1264,7.821,103.938
genuine,47,3020,1208,7.068,115.013
genuine,48,3000,1200,5.456,118.961
genuine,49,3200,1280,12.134,121.78
genuine,50,3140,1256,2.261,106.479
genuine,51,2920,1168,2.711,99.362
genuine,52,3220,1288,3.573,93.191
genuine,53,3060,1224,8.024,112.502
genuine,54,3080,1232,2.534,100.781
genuine,55,3040,1216,7.544,112.245
genuine,56,3220,1288,7.541,104.201
genuine,57,3040,1216,3.785,94.833
genuine,58,3100,1240,9.803,123.041
genuine,59,3100,1240,3.172,92.267
genuine,60,2940,1176,7.581,116.558
genuine,61,3020,1208,3.41,101.174
genuine,62,3040,1216,2.307,96.861
genuine,63,3020,1208,2.937,101.075
malicious,0,19050,19050,9.663,432.643
