Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,511383,170461,0.025,37.549
genuine,1,510240,170080,0.03,37.496
genuine,2,508950,169650,0.021,38.351
genuine,3,509331,169777,0.017,37.754
genuine,4,510360,170120,0.022,37.61
genuine,5,508842,169614,0.041,37.385
genuine,6,509010,169670,0.053,37.511
genuine,7,509148,169716,0.021,37.58
genuine,8,508830,169610,0.016,37.423
genuine,9,510417,170139,0.02,37.357
genuine,10,509280,169760,0.08,37.449
genuine,11,510696,170232,0.025,37.586
genuine,12,511509,170503,0.023,37.417
genuine,13,510054,170018,0.017,37.625
genuine,14,509676,169892,0.016,37.188
genuine,15,509355,169785,0.048,38.015
genuine,16,509739,169913,0.016,37.539
genuine,17,509031,169677,0.022,37.565
genuine,18,510483,170161,0.02,37.391
genuine,19,511458,170486,0.052,37.377
genuine,20,511386,170462,0.02,37.306
genuine,21,508977,169659,0.042,37.547
genuine,22,507774,169258,0.028,37.38
genuine,23,509424,169808,0.018,37.234
genuine,24,508344,169448,0.019,37.35
genuine,25,508350,169450,0.046,37.345
genuine,26,509385,169795,0.025,37.836
genuine,27,509409,169803,0.015,37.344
genuine,28,509826,169942,0.026,37.563
genuine,29,508677,169559,0.024,37.356
genuine,30,507819,169273,0.018,37.474
genuine,31,508314,169438,0.016,37.537
genuine,32,508830,169610,0.039,37.073
genuine,33,509178,169726,0.024,37.335
genuine,34,509262,169754,0.021,37.619
genuine,35,509232,169744,0.022,37.315
genuine,36,509397,169799,0.019,37.509
genuine,37,509163,169721,0.022,37.189
genuine,38,508353,169451,0.015,37.316
genuine,39,509019,169673,0.017,37.643
genuine,40,508782,169594,0.019,37.34
genuine,41,508587,169529,0.02,37.21
genuine,42,508593,169531,0.024,37.301
genuine,43,509259,169753,0.019,37.466
genuine,44,508719,169573,0.024,37.355
genuine,45,508965,169655,0.015,37.429
genuine,46,509241,169747,0.016,37.391
genuine,47,508371,169457,0.021,37.284
genuine,48,508647,169549,0.015,37.206
genuine,49,508659,169553,0.038,37.289
genuine,50,509397,169799,0.021,37.446
genuine,51,509703,169901,0.02,37.494
genuine,52,507813,169271,0.017,37.471
genuine,53,508377,169459,0.043,37.314
genuine,54,507708,169236,0.017,37.394
genuine,55,507513,169171,0.468,38.058
genuine,56,509088,169696,0.021,37.263
genuine,57,509109,169703,0.03,37.507
genuine,58,508944,169648,0.016,37.559
genuine,59,509709,169903,0.019,37.567
genuine,60,509016,169672,0.294,37.664
genuine,61,508458,169486,0.017,37.441
genuine,62,508347,169449,0.016,37.27
genuine,63,508953,169651,0.02,37.508
malicious,0,4632973,4632973,1.492,904.822
