Type,throughput,total_cs
ns_c_lock, 925409, 5245.581
ns_c_lock, 2746925, 20851.841
ns_c_lock, 5441155, 51727.997
ns_c_lock, 7262113, 87898.557
ns_c_lock, 9975169, 139440.56
ns_c_lock, 11840469, 170408.71
ns_c_lock, 11849493, 232385.212
