Type,throughput,total_cs
ns_c, 929386, 5271.352
ns_c, 1229116, 15819.514
ns_c, 1724298, 31645.214
ns_c, 2021365, 49264.574
ns_c, 2441031, 70845.814
ns_c, 2441001, 93714.782
ns_c, 2157393, 109099.27100000001
