Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,52910,0.96,3207.723,3165.0
find,0,52948,1.318,3208.44,3143.0
find,1,51286,2.757,3221.789,3151.0
find,1,51150,0.684,3216.975,3143.0
find,1,51477,0.839,3223.511,3146.0
find,2,59038,2.114,3210.834,3142.0
find,2,51593,0.747,3218.229,3150.0
find,2,52175,1.267,3222.372,3142.0
find,3,54176,3.549,3223.655,3141.0
find,3,54133,0.841,3217.602,3146.0
find,3,53925,5.047,3216.084,3143.0
insert,0,9613101,0.892,1134.22,3145.0
insert,0,9555352,0.817,1125.371,3149.0
insert,1,10400797,0.036,1220.742,3145.0
insert,2,10038209,0.039,1182.901,3152.0
insert,3,10206559,0.048,1205.919,3146.0
