Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,42083807,0.036,284.629
find,0,43980650,0.176,297.075
find,0,42181609,0.11,284.376
find,0,41018873,0.193,277.409
insert,1,4039297,0.492,848.212
insert,1,3981146,0.202,839.298
insert,1,3943269,0.773,831.137
insert,1,3937174,0.113,825.604
