Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,51193,0.702,3215.93,3146.0
find,1,50894,0.768,3217.62,3164.0
find,1,53018,0.987,3224.638,3143.0
find,1,51420,3.264,3219.497,3145.0
find,2,52420,2.89,3218.87,3143.0
find,2,49813,0.834,3221.471,3142.0
find,2,50413,5.272,3230.54,3144.0
find,3,50432,0.856,3215.746,3143.0
find,3,60878,0.815,3219.118,3145.0
find,3,51582,2.277,3218.573,3145.0
insert,0,10005857,2.358,1213.025,3154.0
insert,0,9379467,2.455,1137.896,3144.0
insert,0,9396315,2.624,1139.031,3149.0
insert,1,10380545,0.033,1222.647,3145.0
insert,2,9671170,0.039,1169.074,3154.0
insert,3,9975800,0.035,1197.753,3150.0
