Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,120773,2.509,10178.529
find,0,127034,3.478,10162.53
find,0,121715,2.833,10183.581
find,1,102855,3.157,10292.931
find,1,105513,2.872,10249.953
find,1,107382,2.535,10269.942
insert,0,1954969,7.719,887.935
insert,1,1904217,7.781,932.877
insert,2,3086550,3.419,872.802
insert,2,3383687,7.709,1699.191
insert,2,2777122,2.68,1491.904
insert,2,3390578,6.133,996.32
insert,3,3218737,2.392,1763.286
insert,3,3341697,7.711,1302.437
insert,3,3926703,2.76,1231.661
insert,3,2948376,6.108,1334.906
insert,4,2848943,6.219,1362.313
insert,4,4051703,3.464,1416.063
insert,4,2764391,7.702,1437.736
insert,4,3333952,5.215,1892.078
insert,5,2813373,1.227,1314.702
insert,5,2659839,6.105,1001.598
insert,5,2628397,3.519,1587.518
insert,5,2918885,7.793,1102.063
insert,6,2593608,1.267,1094.366
insert,6,2979320,6.124,1358.255
insert,6,2590415,3.43,1058.223
insert,6,2571102,7.709,1759.89
insert,7,2809454,2.175,940.506
insert,7,3430178,6.128,1301.278
insert,7,3087634,3.437,947.137
insert,7,3797619,7.736,1027.561
