Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,26643867,0.0,0.0,3146.0
find,1,26742963,0.0,0.0,3146.0
find,1,26711819,0.0,0.0,3147.0
find,1,26697785,0.0,0.0,3148.0
find,2,26721922,0.0,0.0,3145.0
find,2,26637691,0.0,0.0,3145.0
find,2,26707524,0.0,0.0,3145.0
find,2,26729126,0.0,0.0,3147.0
find,3,26637963,0.0,0.0,3145.0
find,3,26719349,0.0,0.0,3146.0
find,3,26614914,0.0,0.0,3146.0
find,3,26779906,0.0,0.0,3145.0
insert,0,10395645,0.281,1225.2,3146.0
insert,0,10417557,0.317,1226.073,3152.0
insert,0,10391038,0.385,1225.064,3147.0
insert,0,10379503,1.358,1226.207,3148.0
