Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,572914,0.639,10332.685
find,0,576670,4.654,10345.622
find,0,577359,4.298,10340.117
insert,0,15975041,4.609,3396.516
insert,1,20039792,1.909,4227.04
insert,1,19926482,2.883,4202.423
insert,1,20268490,3.275,4262.043
insert,1,19675679,4.631,4162.128
