Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,132141,2.575,10539.768
find,0,127616,1.833,10584.936
find,0,157637,4.629,10527.684
find,1,145926,1.534,10538.742
find,1,113019,7.617,10572.354
find,1,127390,6.052,10566.336
find,2,131965,1.485,10534.688
find,2,127184,3.313,10629.001
find,2,143557,5.54,10538.054
find,3,143748,5.217,10558.549
find,3,143434,1.537,10587.771
find,3,143991,2.809,10579.896
find,4,142517,2.074,10580.297
find,4,143459,3.308,10576.609
find,4,143258,8.373,10573.569
find,5,147214,5.767,10545.835
find,5,137230,2.362,10563.908
find,5,138528,1.251,10558.055
find,6,127792,1.732,10556.067
find,6,131775,2.282,10564.046
find,6,142277,1.624,10551.542
find,7,127765,3.163,10535.887
find,7,133341,3.632,10591.871
find,7,130475,4.124,10577.888
insert,0,11814897,3.803,2444.682
insert,1,12756437,4.581,2368.616
insert,2,8826324,4.682,2233.675
insert,3,10060327,7.258,2155.673
insert,4,9700971,4.688,2078.456
insert,5,13302552,9.069,2332.663
insert,6,15360027,4.687,2547.451
insert,7,8677022,6.541,2319.338
