Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,111208,1.817,10485.477
find,0,112979,3.149,10526.395
find,0,112368,4.747,10485.274
find,1,95447,4.871,10586.751
find,1,99951,3.95,10575.29
find,1,86177,5.508,10632.294
find,2,90432,4.576,10624.534
find,2,90583,5.169,10568.698
find,2,85759,9.243,10610.364
find,3,142804,4.912,10489.434
find,3,147869,3.337,10466.306
find,3,146865,2.582,10478.521
find,4,99788,3.527,10607.41
find,4,100067,3.054,10599.47
find,4,104371,5.183,10579.744
find,5,98538,3.011,10594.018
find,5,101302,3.349,10581.649
find,5,104153,5.286,10584.89
find,6,100736,5.261,10555.953
find,6,97601,2.461,10599.271
find,6,90544,5.574,10627.574
find,7,90190,7.606,10617.441
find,7,82184,6.931,10592.659
find,7,84722,5.26,10597.975
insert,0,4117643,4.134,1442.076
insert,1,4771230,3.331,1953.603
insert,2,4217120,5.093,1900.07
insert,3,6504255,5.326,1201.14
insert,4,5551089,6.374,1739.979
insert,5,4748372,5.105,1963.053
insert,6,5166070,6.352,1925.964
insert,7,4298925,6.327,1945.08
insert,8,8980092,4.293,2491.337
insert,8,9383962,5.055,1788.408
insert,8,8442681,4.088,2419.189
insert,8,8737541,6.33,1634.2
insert,9,8228770,4.373,2481.755
insert,9,8434610,5.08,2476.748
insert,9,8675053,6.374,2362.456
insert,9,7902052,5.046,2011.367
