Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,128479,1.74,10132.252
find,0,124418,2.34,10195.789
find,0,121415,2.813,10181.892
find,1,130462,3.729,10167.271
find,1,127582,8.499,10121.537
find,1,128049,2.276,10138.357
find,2,118818,2.718,10312.856
find,2,127749,11.543,10288.409
find,2,128808,2.65,10151.757
insert,0,2107241,3.462,856.938
insert,1,2145026,3.901,769.783
insert,2,2107143,3.492,744.255
insert,3,2952324,9.425,2931.75
insert,3,3860397,2.807,1234.899
insert,3,3062104,4.678,695.41
insert,3,4265590,2.402,1047.325
insert,4,4191846,3.908,1140.274
insert,4,3847528,4.145,1036.835
insert,4,3391416,4.655,1726.659
insert,4,3891633,7.055,1083.975
insert,5,2321203,4.543,2892.004
insert,5,2961659,4.245,756.928
insert,5,2897859,4.636,1022.046
insert,5,2782340,2.485,632.274
insert,6,3159206,0.077,1092.811
insert,6,3066057,3.598,819.688
insert,6,3134014,4.677,848.234
insert,6,2954573,4.133,782.515
insert,7,2801378,4.508,2872.276
insert,7,2721697,4.237,598.064
insert,7,3410045,4.707,691.608
insert,7,2410121,2.667,1197.932
