Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,286277,2.489,10356.542
find,0,286837,4.818,10339.911
find,0,287842,1.784,10367.98
find,1,285669,3.874,10339.978
find,1,285820,2.138,10362.906
find,1,288449,1.16,10398.037
find,2,284851,1.484,10384.419
find,2,283133,0.785,10371.363
find,2,284130,2.51,10346.47
insert,0,9702195,7.104,2112.887
insert,1,9252464,4.659,2012.455
insert,2,8812485,4.757,1929.113
insert,3,15581432,4.747,3317.614
insert,3,15536373,4.669,3326.872
insert,3,15308054,7.16,3280.487
insert,3,15531395,2.865,3318.263
