Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,138191,4.404,10432.244
find,0,136621,3.04,10423.771
find,0,132072,2.111,10437.485
find,1,132551,2.447,10444.757
find,1,138678,3.451,10406.754
find,1,134617,2.219,10434.15
find,2,124001,6.164,10547.195
find,2,118010,3.243,10439.737
find,2,127955,5.156,10501.212
find,3,113949,3.471,10547.285
find,3,113394,4.063,10538.987
find,3,113547,1.977,10548.434
find,4,116469,4.287,10543.055
find,4,116067,3.559,10543.213
find,4,115654,3.365,10540.494
insert,0,4346895,3.013,1897.559
insert,1,4571145,4.327,1935.952
insert,2,5302498,2.344,1678.382
insert,3,5046568,4.047,1860.789
insert,4,5204237,4.334,1774.245
insert,5,6021591,1.804,2021.154
insert,5,7029788,2.566,1725.169
insert,5,6544386,4.333,2267.021
insert,5,7500836,4.045,1173.803
insert,6,6365911,4.319,2078.667
insert,6,6946624,3.416,1896.861
insert,6,6407029,4.117,1596.412
insert,6,6286491,4.092,2188.618
insert,7,7261655,2.814,2235.401
insert,7,7933872,4.302,2360.8
insert,7,7412324,3.452,2148.633
insert,7,7859452,4.037,1968.451
