Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,100323,2.282,10257.991
find,0,101931,4.884,10257.075
find,0,100031,5.215,10261.332
insert,0,1803279,3.872,919.543
insert,1,2013855,1.656,1675.733
insert,1,2041333,3.843,1578.139
insert,1,2513764,4.436,878.122
insert,1,3233781,2.11,996.161
insert,2,2505993,2.129,1699.242
insert,2,1783163,2.223,1632.819
insert,2,3157568,5.686,1084.995
insert,2,2232488,4.377,1179.418
insert,3,2848949,4.443,1770.6
insert,3,3028236,16.176,1856.776
insert,3,2787047,3.799,1406.647
insert,3,3127279,3.831,1358.322
insert,4,3418772,1.879,1407.784
insert,4,3184594,4.423,1413.064
insert,4,2927291,10.445,1253.444
insert,4,3383662,2.275,1465.973
insert,5,2621113,3.917,1180.348
insert,5,2435870,4.426,837.192
insert,5,2713017,1.605,1077.194
insert,5,2209826,2.303,1313.698
insert,6,2043988,1.653,1603.162
insert,6,2077867,2.224,1190.635
insert,6,1788286,3.931,1062.413
insert,6,3259950,4.432,1036.851
insert,7,1892583,3.938,1409.326
insert,7,2440296,1.306,1352.275
insert,7,3179819,4.364,1286.033
insert,7,2602370,3.84,687.12
