Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
insert,0,20793447,0.063,2444.209,6292.0
insert,0,20782268,1.265,2447.431,6291.0
insert,0,20803790,2.982,2470.153,6293.0
insert,0,20807495,2.986,2451.156,6295.0
insert,1,20738947,2.779,2453.055,6288.0
insert,1,20779808,2.888,2457.08,6286.0
insert,1,20764909,4.889,2461.294,6288.0
insert,1,20725882,2.933,2458.172,6294.0
