Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,26412894,0.0,0.0,3150.0
find,0,25657055,0.0,0.0,3144.0
find,0,26438671,0.0,0.0,3149.0
find,0,26457786,0.0,0.0,3147.0
find,1,26450362,0.0,0.0,3145.0
find,1,26481092,0.0,0.0,3145.0
find,1,26459977,0.0,0.0,3145.0
find,1,26449977,0.0,0.0,3145.0
find,2,26449905,0.0,0.0,3145.0
find,2,26416350,0.0,0.0,3147.0
find,2,26398165,0.0,0.0,3146.0
find,2,26424662,0.0,0.0,3146.0
find,3,26397577,0.0,0.0,3144.0
find,3,26377210,0.0,0.0,3144.0
find,3,26419612,0.0,0.0,3147.0
find,3,26421628,0.0,0.0,3146.0
