Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,123507,3.375,10513.771
find,0,122041,4.781,10534.635
find,0,174025,2.397,10470.502
find,1,140652,1.696,10528.578
find,1,200497,1.514,10425.874
find,1,127982,4.193,10556.711
find,2,192423,4.672,10515.574
find,2,188679,4.039,10510.643
find,2,186059,2.783,10468.461
find,3,142326,2.351,10555.29
find,3,142618,4.785,10560.286
find,3,142649,2.19,10558.696
find,4,142919,1.441,10539.672
find,4,142005,1.762,10556.979
find,4,142583,3.615,10545.282
find,5,127449,4.292,10518.392
find,5,171530,1.579,10467.393
find,5,128240,1.914,10526.562
find,6,118734,1.634,10596.182
find,6,122770,3.514,10604.8
find,6,171236,5.288,10469.562
insert,0,8464982,5.708,1811.338
insert,1,7577018,4.676,1708.23
insert,2,9969283,3.565,1866.272
insert,3,7918804,4.682,1707.16
insert,4,8401528,5.619,1837.116
insert,5,9280960,4.673,1880.533
insert,6,6179894,4.636,2839.887
insert,7,13792580,5.736,3436.997
insert,7,14301912,2.228,2137.596
insert,7,14507111,4.603,2385.991
insert,7,15382944,4.652,2567.268
