Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,53558,3.469,3222.646,3151.0
find,1,26871435,0.0,0.0,3157.0
find,1,26821292,0.0,0.0,3143.0
find,1,26777949,0.0,0.0,3160.0
find,1,26633392,0.0,0.0,3146.0
find,2,26778463,0.0,0.0,3142.0
find,2,26743241,0.0,0.0,3150.0
find,2,26771870,0.0,0.0,3146.0
find,2,26699082,0.0,0.0,3145.0
find,3,26664675,0.0,0.0,3140.0
find,3,26675670,0.0,0.0,3140.0
find,3,26691017,0.0,0.0,3141.0
find,3,26696713,0.0,0.0,3142.0
insert,0,10375677,0.045,1223.299,3144.0
insert,0,10052438,0.065,1188.438,3151.0
insert,0,10399070,0.041,1226.529,3150.0
