Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,98096,1.533,10571.071
find,0,96323,3.656,10574.245
find,0,97474,4.867,10582.918
find,1,109453,4.169,10591.233
find,1,108893,2.494,10580.649
find,1,130330,8.298,10549.419
find,2,101226,5.48,10616.19
find,2,108378,4.806,10584.292
find,2,108638,5.753,10590.721
find,3,105247,4.598,10629.479
find,3,113331,7.414,10609.235
find,3,142686,4.176,10555.524
find,4,108889,4.173,10600.395
find,4,106836,3.692,10603.382
find,4,109847,3.139,10605.205
find,5,100894,1.776,10588.605
find,5,100346,3.854,10609.666
find,5,100645,1.478,10602.482
find,6,100003,2.275,10614.995
find,6,110443,2.845,10585.973
find,6,138304,2.284,10524.19
find,7,102821,3.404,10617.423
find,7,95568,3.166,10623.963
find,7,96464,3.827,10622.302
find,8,116702,4.217,10590.923
find,8,106963,2.165,10614.42
find,8,140915,3.63,10563.592
find,9,92746,1.927,10625.229
find,9,97491,7.407,10626.45
find,9,94631,4.004,10626.033
insert,0,6618225,5.265,2187.267
insert,1,11403296,4.2,2130.682
insert,2,9582634,4.796,2133.703
insert,3,9254739,6.095,2125.073
insert,4,9898875,4.715,2232.312
insert,5,7285081,5.085,2022.945
insert,6,13353251,6.015,2117.409
insert,7,10804054,6.079,2787.169
insert,8,9820719,6.07,2122.047
insert,9,8218809,4.699,2772.807
