Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,287881,0.765,10455.599
find,0,288487,1.551,10493.389
find,0,289741,1.881,10470.107
find,1,289288,3.725,10475.285
find,1,291163,1.101,10467.419
find,1,289489,0.962,10486.541
find,2,283643,4.641,10497.038
find,2,286202,2.418,10471.31
find,2,287441,3.277,10511.992
find,3,291272,2.919,10497.146
find,3,289467,2.323,10495.204
find,3,289358,4.764,10482.577
insert,0,15721986,4.571,3360.149
insert,1,15395860,3.367,3264.23
insert,2,15170027,4.653,3215.094
insert,3,15221810,1.568,3243.645
