Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,133531,2.62,10285.861
find,0,137137,3.744,10277.271
find,0,135486,2.02,10309.781
find,1,130446,2.02,10309.039
find,1,127818,4.377,10329.804
find,1,128037,2.531,10326.681
find,2,131359,3.308,10415.519
find,2,131190,3.824,10426.993
find,2,127663,1.931,10299.371
find,3,115526,2.454,10460.68
find,3,116293,2.756,10468.504
find,3,115976,4.255,10480.588
insert,0,3205265,4.874,1089.976
insert,1,3186156,4.881,1104.456
insert,2,3324433,4.289,1076.973
insert,3,3786686,2.847,1251.508
insert,4,5663008,2.468,1881.957
insert,4,5125642,4.28,2293.403
insert,4,4975573,4.894,3145.227
insert,4,5298282,5.193,2174.1
insert,5,4133718,4.252,1470.466
insert,5,3329328,1.269,2223.943
insert,5,3875794,3.455,1682.842
insert,5,3225063,4.873,3310.853
insert,6,4857027,2.537,2023.844
insert,6,4239669,4.308,1085.905
insert,6,5297553,4.902,1338.497
insert,6,4443916,1.91,1237.585
insert,7,4613572,4.307,2247.651
insert,7,4501805,2.82,1156.341
insert,7,4166325,3.26,1580.415
insert,7,4228806,4.904,3038.104
