Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,581883,4.718,10453.3
find,1,579715,4.342,10358.33
find,1,579160,1.623,10364.688
find,1,578739,4.53,10370.181
insert,0,19797433,4.559,4214.146
insert,0,20418435,4.423,4189.336
insert,0,20089645,1.31,4227.147
insert,1,17013122,2.739,3602.891
